,Product Name,Prices,Description,Review
0,"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)","₹59,999",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 10MP | 10MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
1,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories,4.4
2,"APPLE iPhone 12 (Blue, 256 GB)","₹66,999","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6
3,Cellecor C60+,"₹1,459",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display0.8MP Rear Camera2750 mAh Battery1 Year Manufacturer Warranty,3.7
4,"APPLE iPhone 12 (Green, 256 GB)","₹66,999","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6
5,"APPLE iPhone 12 (Black, 256 GB)","₹66,999","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6
6,"APPLE iPhone 12 (Red, 256 GB)","₹66,999","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6
7,itel Power200,"₹1,376",32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera2500 mAh Battery1 Year Warranty for device 6 months for accessories,4.2
8,"APPLE iPhone 13 (Green, 128 GB)","₹62,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
9,"APPLE iPhone 13 (Midnight, 128 GB)","₹62,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
10,"APPLE iPhone 13 (Pink, 128 GB)","₹62,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
11,itel Power 430,"₹1,499",8 MB RAM | 8 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera2500 mAh Battery12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),3.7
12,"APPLE iPhone 13 (Starlight, 128 GB)","₹62,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
13,"APPLE iPhone 13 (Blue, 128 GB)","₹62,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
